SalesOrderID;ModifiedDate;BusinessEntityID;FirstName;LastName;Amount;TerritoryName
53485;2013-08-07 00:00:00.000;285;Syed;Abbas;57771,7641;Australia
53492;2013-08-07 00:00:00.000;285;Syed;Abbas;17746,2521;Australia
53502;2013-08-07 00:00:00.000;285;Syed;Abbas;31604,671;Australia
53554;2013-08-07 00:00:00.000;285;Syed;Abbas;3671,958;Australia
53588;2013-08-07 00:00:00.000;285;Syed;Abbas;54,942;Australia
53594;2013-08-07 00:00:00.000;285;Syed;Abbas;1075,344;Australia
69553;2014-04-07 00:00:00.000;285;Syed;Abbas;752,634;Australia
69564;2014-04-07 00:00:00.000;285;Syed;Abbas;16317,588;Australia
71874;2014-05-08 00:00:00.000;285;Syed;Abbas;2860,884;Australia
71926;2014-05-08 00:00:00.000;285;Syed;Abbas;1336,23;Australia
57059;2013-10-07 00:00:00.000;285;Syed;Abbas;2860,884;Australia
58915;2013-11-06 00:00:00.000;285;Syed;Abbas;27568,494;Australia
59045;2013-11-06 00:00:00.000;285;Syed;Abbas;3589,794;Australia
61180;2013-12-07 00:00:00.000;285;Syed;Abbas;3490,608;Australia
61245;2013-12-07 00:00:00.000;285;Syed;Abbas;445,41;Australia
63203;2014-01-07 00:00:00.000;285;Syed;Abbas;1376,994;Australia
46982;2012-07-07 00:00:00.000;287;Amy;Alberts;65,6018;France
47004;2012-07-07 00:00:00.000;287;Amy;Alberts;53170,0479;United Kingdom
47062;2012-07-07 00:00:00.000;287;Amy;Alberts;20496,8188;United Kingdom
47969;2012-10-07 00:00:00.000;287;Amy;Alberts;8724,1741;France
48084;2012-10-07 00:00:00.000;287;Amy;Alberts;3923,9585;United Kingdom
49078;2013-01-07 00:00:00.000;287;Amy;Alberts;24617,2453;France
65201;2014-02-05 00:00:00.000;287;Amy;Alberts;53500,224;Germany
67203;2014-03-08 00:00:00.000;287;Amy;Alberts;2465,2298;Germany
69551;2014-04-07 00:00:00.000;287;Amy;Alberts;672,294;United Kingdom
61198;2013-12-07 00:00:00.000;287;Amy;Alberts;323,994;Germany
63161;2014-01-07 00:00:00.000;287;Amy;Alberts;209,97;France
63173;2014-01-07 00:00:00.000;287;Amy;Alberts;26775,474;United Kingdom
63229;2014-01-07 00:00:00.000;287;Amy;Alberts;1544,97;France
63242;2014-01-07 00:00:00.000;287;Amy;Alberts;1964,91;United Kingdom
63254;2014-01-07 00:00:00.000;287;Amy;Alberts;11546,634;United Kingdom
57177;2013-10-07 00:00:00.000;287;Amy;Alberts;1701,486;Germany
57185;2013-10-07 00:00:00.000;287;Amy;Alberts;28913,67;United Kingdom
58908;2013-11-06 00:00:00.000;287;Amy;Alberts;71774,1812;United Kingdom
58968;2013-11-06 00:00:00.000;287;Amy;Alberts;13938,87;France
59044;2013-11-06 00:00:00.000;287;Amy;Alberts;63244,416;Germany
59064;2013-11-06 00:00:00.000;287;Amy;Alberts;71884,6078;United Kingdom
53461;2013-08-07 00:00:00.000;287;Amy;Alberts;1466,01;France
53512;2013-08-07 00:00:00.000;287;Amy;Alberts;33631,8982;United Kingdom
53519;2013-08-07 00:00:00.000;287;Amy;Alberts;283,9489;Germany
55274;2013-09-06 00:00:00.000;287;Amy;Alberts;323,994;Germany
57056;2013-10-07 00:00:00.000;287;Amy;Alberts;2305,386;France
